"$100 Value","MSA","County","State"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Alameda","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Contra Costa","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Marin","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","San Francisco","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","San Mateo","CA"
"$ 86.84","San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)","San Diego","CA"
"$ 87.15","Urban Honolulu, HI (Metropolitan Statistical Area)","Honolulu","HI"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Bergen","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Essex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Hudson","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Hunterdon","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Middlesex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Monmouth","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Morris","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Ocean","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Passaic","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Somerset","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Sussex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Union","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Bronx","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Kings","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Nassau","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","New York","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Putnam","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Queens","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Richmond","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Rockland","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Suffolk","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Westchester","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Pike","PA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","King","WA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","Pierce","WA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","Snohomish","WA"
"$ 87.86","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)","Los Angeles","CA"
"$ 87.86","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)","Orange","CA"
"$ 89.23","Napa, CA (Metropolitan Statistical Area)","Napa","CA"
"$ 89.25","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)","Maui + Kalawao","HI"
"$ 89.44","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)","Santa Barbara","CA"
"$ 89.57","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)","San Benito","CA"
"$ 89.57","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)","Santa Clara","CA"
"$ 89.76","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)","Ventura","CA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Calvert","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Charles","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Frederick","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Montgomery","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Prince George's","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Arlington","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Clarke","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Culpeper","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Fairfax","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Fauquier","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Loudoun","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Madison","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Prince William","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Rappahannock","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Spotsylvania + Fredericksburg","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Stafford","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Warren","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Alexandria (Independent City)","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Jefferson","WV"
"$ 90.83","Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)","Dutchess","NY"
"$ 90.83","Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)","Orange","NY"
"$ 90.97","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)","Broward","FL"
"$ 90.97","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)","Miami-Dade","FL"
"$ 90.97","Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)","Palm Beach","FL"
"$ 91.07","Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)","Sonoma","CA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Essex","MA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Middlesex","MA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Norfolk","MA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Plymouth","MA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Suffolk","MA"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Rockingham","NH"
"$ 91.17","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","Strafford","NH"
"$ 91.42","Vallejo, CA (Metropolitan Statistical Area)","Solano","CA"
"$ 91.52","Salinas, CA (Metropolitan Statistical Area)","Monterey","CA"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Adams","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Arapahoe","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Broomfield","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Clear Creek","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Denver","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Douglas","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Elbert","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Gilpin","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Jefferson","CO"
"$ 91.61","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)","Park","CO"
"$ 91.68","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)","Santa Cruz","CA"
"$ 92.12","San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)","San Luis Obispo","CA"
"$ 92.46","NonMetropolitan Area","Hawaii","HI"
"$ 92.46","NonMetropolitan Area","Kalawao","HI"
"$ 92.46","NonMetropolitan Area","Kauai","HI"
"$ 94.08","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)","El Dorado","CA"
"$ 94.08","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)","Placer","CA"
"$ 94.08","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)","Sacramento","CA"
"$ 94.08","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)","Yolo","CA"
"$ 94.10","Anchorage, AK (Metropolitan Statistical Area)","Anchorage Municipality","AK"
"$ 94.10","Anchorage, AK (Metropolitan Statistical Area)","Matanuska-Susitna Borough","AK"
"$ 94.52","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","Fairfield","CT"
"$ 94.76","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)","Riverside","CA"
"$ 94.76","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)","San Bernardino","CA"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Cook","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","DeKalb","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","DuPage","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Grundy","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Kane","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Kendall","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Lake","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","McHenry","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Will","IL"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Jasper","IN"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Lake","IN"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Newton","IN"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Porter","IN"
"$ 94.86","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","Kenosha","WI"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Clackamas","OR"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Columbia","OR"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Multnomah","OR"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Washington","OR"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Yamhill","OR"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Clark","WA"
"$ 94.90","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)","Skamania","WA"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Anne Arundel","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Baltimore","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Carroll","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Harford","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Howard","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Queen Anne's","MD"
"$ 95.23","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","Baltimore (Independent City)","MD"
"$ 95.49","Bellingham, WA (Metropolitan Statistical Area)","Whatcom","WA"
"$ 95.60","Stockton, CA (Metropolitan Statistical Area)","San Joaquin","CA"
"$ 96.21","Fairbanks, AK (Metropolitan Statistical Area)","Fairbanks North Star Borough","AK"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Collin","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Dallas","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Denton","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Ellis","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Hunt","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Johnson","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Kaufman","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Parker","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Rockwall","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Tarrant","TX"
"$ 96.29","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","Wise","TX"
"$ 96.44","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)","Kitsap","WA"
"$ 96.53","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)","Thurston","WA"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Anoka","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Carver","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Chisago","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Dakota","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Hennepin","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Isanti","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Le Sueur","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Mille Lacs","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Ramsey","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Scott","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Sherburne","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Washington","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Wright","MN"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","Pierce","WI"
"$ 96.54","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)","St. Croix","WI"
"$ 96.98","Wenatchee, WA (Metropolitan Statistical Area)","Chelan","WA"
"$ 96.98","Wenatchee, WA (Metropolitan Statistical Area)","Douglas","WA"
"$ 97.11","Modesto, CA (Metropolitan Statistical Area)","Stanislaus","CA"
"$ 97.33","Bend, OR (Metropolitan Statistical Area)","Deschutes","OR"
"$ 97.43","Burlington-South Burlington, VT (Metropolitan Statistical Area)","Chittenden","VT"
"$ 97.43","Burlington-South Burlington, VT (Metropolitan Statistical Area)","Franklin","VT"
"$ 97.43","Burlington-South Burlington, VT (Metropolitan Statistical Area)","Grand Isle","VT"
"$ 97.54","Chico, CA (Metropolitan Statistical Area)","Butte","CA"
"$ 97.70","Ithaca, NY (Metropolitan Statistical Area)","Tompkins","NY"
"$ 97.86","Naples-Marco Island, FL (Metropolitan Statistical Area)","Collier","FL"
"$ 97.88","Manchester-Nashua, NH (Metropolitan Statistical Area)","Hillsborough","NH"
"$ 97.92","Medford, OR (Metropolitan Statistical Area)","Jackson","OR"
"$ 98.14","Trenton-Princeton, NJ (Metropolitan Statistical Area)","Mercer","NJ"
"$ 98.20","Salem, OR (Metropolitan Statistical Area)","Marion","OR"
"$ 98.20","Salem, OR (Metropolitan Statistical Area)","Polk","OR"
"$ 98.23","Corvallis, OR (Metropolitan Statistical Area)","Benton","OR"
"$ 98.23","Albany-Lebanon, OR (Metropolitan Statistical Area)","Linn","OR"
"$ 98.29","Portland-South Portland, ME (Metropolitan Statistical Area)","Cumberland","ME"
"$ 98.29","Portland-South Portland, ME (Metropolitan Statistical Area)","Sagadahoc","ME"
"$ 98.29","Portland-South Portland, ME (Metropolitan Statistical Area)","York","ME"
"$ 98.32","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)","Hartford","CT"
"$ 98.32","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)","Middlesex","CT"
"$ 98.32","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)","Tolland","CT"
"$ 98.47","Fresno, CA (Metropolitan Statistical Area)","Fresno","CA"
"$ 98.48","Yuba City, CA (Metropolitan Statistical Area)","Sutter","CA"
"$ 98.48","Yuba City, CA (Metropolitan Statistical Area)","Yuba","CA"
"$ 98.70","Boulder, CO (Metropolitan Statistical Area)","Boulder","CO"
"$ 98.74","NonMetropolitan Area","Aleutians","AK"
"$ 98.74","NonMetropolitan Area","Aleutians","AK"
"$ 98.74","NonMetropolitan Area","Bethel","AK"
"$ 98.74","NonMetropolitan Area","Bristol","AK"
"$ 98.74","NonMetropolitan Area","Denali","AK"
"$ 98.74","NonMetropolitan Area","Dillingham","AK"
"$ 98.74","NonMetropolitan Area","Haines","AK"
"$ 98.74","NonMetropolitan Area","Hoonah-Angoon","AK"
"$ 98.74","NonMetropolitan Area","Juneau","AK"
"$ 98.74","NonMetropolitan Area","Kenai","AK"
"$ 98.74","NonMetropolitan Area","Ketchikan","AK"
"$ 98.74","NonMetropolitan Area","Kodiak","AK"
"$ 98.74","NonMetropolitan Area","Kusilvak","AK"
"$ 98.74","NonMetropolitan Area","Lake","AK"
"$ 98.74","NonMetropolitan Area","Nome","AK"
"$ 98.74","NonMetropolitan Area","North","AK"
"$ 98.74","NonMetropolitan Area","Northwest","AK"
"$ 98.74","NonMetropolitan Area","Petersburg","AK"
"$ 98.74","NonMetropolitan Area","Prince","AK"
"$ 98.74","NonMetropolitan Area","Sitka","AK"
"$ 98.74","NonMetropolitan Area","Skagway","AK"
"$ 98.74","NonMetropolitan Area","Southeast","AK"
"$ 98.74","NonMetropolitan Area","Valdez-Cordova","AK"
"$ 98.74","NonMetropolitan Area","Wade","AK"
"$ 98.74","NonMetropolitan Area","Wrangell","AK"
"$ 98.74","NonMetropolitan Area","Yakutat","AK"
"$ 98.74","NonMetropolitan Area","Yukon-Koyukuk","AK"
"$ 98.77","New Haven-Milford, CT (Metropolitan Statistical Area)","New Haven","CT"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Bristol","MA"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Bristol","RI"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Kent","RI"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Newport","RI"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Providence","RI"
"$ 98.82","Providence-Warwick, RI-MA (Metropolitan Statistical Area)","Washington","RI"
"$ 98.87","Barnstable Town, MA (Metropolitan Statistical Area)","Barnstable","MA"
"$ 99.07","Bakersfield, CA (Metropolitan Statistical Area)","Kern","CA"
"$ 99.15","NonMetropolitan Area","Alpine","CA"
"$ 99.15","NonMetropolitan Area","Amador","CA"
"$ 99.15","NonMetropolitan Area","Calaveras","CA"
"$ 99.15","NonMetropolitan Area","Colusa","CA"
"$ 99.15","NonMetropolitan Area","Del","CA"
"$ 99.15","NonMetropolitan Area","Glenn","CA"
"$ 99.15","NonMetropolitan Area","Humboldt","CA"
"$ 99.15","NonMetropolitan Area","Inyo","CA"
"$ 99.15","NonMetropolitan Area","Lake","CA"
"$ 99.15","NonMetropolitan Area","Lassen","CA"
"$ 99.15","NonMetropolitan Area","Mariposa","CA"
"$ 99.15","NonMetropolitan Area","Mendocino","CA"
"$ 99.15","NonMetropolitan Area","Modoc","CA"
"$ 99.15","NonMetropolitan Area","Mono","CA"
"$ 99.15","NonMetropolitan Area","Nevada","CA"
"$ 99.15","NonMetropolitan Area","Plumas","CA"
"$ 99.15","NonMetropolitan Area","Sierra","CA"
"$ 99.15","NonMetropolitan Area","Siskiyou","CA"
"$ 99.15","NonMetropolitan Area","Tehama","CA"
"$ 99.15","NonMetropolitan Area","Trinity","CA"
"$ 99.15","NonMetropolitan Area","Tuolumne","CA"
"$ 99.39","Eugene-Springfield, OR (Metropolitan Statistical Area)","Lane","OR"
"$ 99.50","Kennewick-Richland, WA (Metropolitan Statistical Area)","Benton","WA"
"$ 99.50","Kennewick-Richland, WA (Metropolitan Statistical Area)","Franklin","WA"
"$ 99.62","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)","Skagit","WA"
"$ 99.70","Merced, CA (Metropolitan Statistical Area)","Merced","CA"
"$ 99.72","Charlottesville, VA (Metropolitan Statistical Area)","Albemarle + Charlottesville","VA"
"$ 99.72","Charlottesville, VA (Metropolitan Statistical Area)","Fluvanna","VA"
"$ 99.72","Charlottesville, VA (Metropolitan Statistical Area)","Greene","VA"
"$ 99.72","Charlottesville, VA (Metropolitan Statistical Area)","Nelson","VA"
"$ 99.91","Madera, CA (Metropolitan Statistical Area)","Madera","CA"
"$ 99.91","Kingston, NY (Metropolitan Statistical Area)","Ulster","NY"
"$ 99.96","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","Bastrop","TX"
"$ 99.96","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","Caldwell","TX"
"$ 99.96","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","Hays","TX"
"$ 99.96","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","Travis","TX"
"$ 99.96","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","Williamson","TX"
"$ 99.97","Norwich-New London, CT (Metropolitan Statistical Area)","New London","CT"
"$ 100.00","Worcester, MA-CT (Metropolitan Statistical Area)","Windham","CT"
"$ 100.00","Worcester, MA-CT (Metropolitan Statistical Area)","Worcester","MA"
"$ 100.03","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","Lee","FL"
"$ 100.19","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)","Lake","FL"
"$ 100.19","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)","Orange","FL"
"$ 100.19","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)","Osceola","FL"
"$ 100.19","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)","Seminole","FL"
"$ 100.25","Ann Arbor, MI (Metropolitan Statistical Area)","Washtenaw","MI"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Austin","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Brazoria","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Chambers","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Fort Bend","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Galveston","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Harris","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Liberty","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Montgomery","TX"
"$ 100.26","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","Waller","TX"
"$ 100.60","Redding, CA (Metropolitan Statistical Area)","Shasta","CA"
"$ 100.70","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)","Manatee","FL"
"$ 100.70","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)","Sarasota","FL"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","New Castle","DE"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Cecil","MD"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Burlington","NJ"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Camden","NJ"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Gloucester","NJ"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Salem","NJ"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Bucks","PA"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Chester","PA"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Delaware","PA"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Montgomery","PA"
"$ 100.80","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)","Philadelphia","PA"
"$ 100.83","Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)","Maricopa","AZ"
